Emotion_value,Text_data
joy,guarantee im dizzy feeling like im going vomit months going pleasant person
joy,smile people smile back tell feel little cheered seeing jolly morning
sadness,used walk neighbors hang worked shop kinda got feeling unwelcome
joy,feel satisfied necessarily forget pain felt
sadness,said earlier feeling ignored ever since baby came getting back normal attention given well
anger,suddenly feeling insulted typing
sadness,feel depressed feel like would negative influential big brother
joy,im trying go feel hopefully next time brave scales good days see nicer number
sadness,help feel bit miserable
fear,walk conventional classroom senses feel assaulted stuff walls hanging ceiling covering surfaces
joy,feel clever done
sadness,walk entire grocery store without feeling like going give aching happen often anymore
joy,imdoing good almost strange feel carefree
fear,could already feel difference strength technique class three classes starting find balance though still pretty shaky business
sadness,feel low havent felt low sucks
joy,absolutely love skinny fiber wonders feel fabulous
joy,connected families love much feel blessed find family connected many different levels
sadness,provided dinner alcohol place crash got return feeling completely unwelcome apartment
anger,im feeling goddamn pissed
fear,signed petition knowing served next days left feeling vulnerable unsure reaction
anger,feel like get easily distracted making things switch around many different projects throughout week
sadness,many kids many strength would sufficient wife would feel burdened
sadness,knew yesterday getting cold morning feel terrible
joy,hate way mom dad hate neglect feelings needs intelligent child rampant parenting style
sadness,feeling helpless could explain
sadness,fuck coat really still feel like doesnt know rock swag looks little lame trying whatever though
fear,might needing quite sometimes let feelings fade away wont make feel insecure disturb uncomfortable
joy,feel like creative professional need unpressed creative outlet get inspired
joy,feeling increasingly hopeful
joy,im feeling creative best rather student deadline meet
sadness,feel like quitting rugby ignored
anger,start feeling resentful overwhelmed sure sign need mothering
fear,im sitting boobs hanging feel uncomfortable
sadness,overwhelmed deep heart hurt feels like empty ache starts chest spreads soul
joy,feel assured right answer
joy,feel ok blessings pronounced upon realized accordance faithfulness
fear,describe happens feel shaky
joy,ive struggling lately whenever feel like saying something reaction oh julia youre clever witty
joy,ill honest feel almost relieved first found getting book published
joy,want say feel though dont play really vital role anyones life exception one friend
sadness,learned silent crushing pain wanted feeling unloved
anger,feel petty posting complaints right like kidnapped years old forced make easter creme eggs rest life
joy,feel energy feel joyful sweet enthusiasm life
fear,think possible maybe denying maybe opening whole possibility maybe realised possible give man men power make feel shaken leather sandals
fear,im feeling hopelessly restless
joy,feel less intelligent watching
joy,feel special amp blessed caring amp creative family
joy,love lots different kinds sports love hanging friends free time also unhealthy session greys anatomy im feeling ecstatic ty
fear,feel strange effects
joy,feel confident issue regarded highest sense urgency
sadness,im feeling like im also going uploading poetry lame stuff lem know guys like
sadness,hope one feels im ungrateful thats case
joy,struggle dont get anxious instead feel much determined succeed
fear,feeling little uncertain skills birthday party arena
